Date,Open,Close,Pre_Result,Result
44239,46943,47853,-1,0
44238,45050,46943,-1,0
44237,47357,45039,1,1
44236,44692,47357,-1,0
44235,38610,44797,-1,0
44234,40085,38610,1,1
44233,37853,40103,-1,0
44232,37687,37853,-1,0
44231,37284,37712,-1,0
44230,35710,37284,-1,0
44229,33667,35686,-1,0
44228,32608,33667,-1,0
44227,34649,32626,1,1
44226,34642,34649,-1,0
44225,33274,34715,-1,0
44224,30941,33274,-1,0
44223,31993,31030,1,1
44222,32681,31993,1,1
44221,31934,32643,-1,0
44220,32399,31934,1,1
44219,33375,32340,1,1
44218,31275,33375,-1,0
44217,34919,31275,1,1
44216,36494,34892,1,1
44215,36252,36494,-1,0
44214,36530,36255,1,1
44213,35935,36530,-1,0
44212,36324,35785,1,1
44211,38757,36324,1,1
44210,37248,38863,-1,0
44209,34736,37248,-1,0
44208,34088,34766,-1,0
44207,37984,34184,1,1
44206,40802,37984,1,1
44205,39927,40769,-1,0
44204,39596,39927,-1,0
44203,35934,39596,-1,0
44202,33788,35848,-1,0
44201,31029,33788,-1,0
44200,33581,31027,1,1
44199,31714,33581,-1,0
44198,29243,31690,-1,0
44197,28965,29259,-1,0
44196,28898,28966,-1,0
44195,26870,28896,-1,0
44194,26606,26870,-1,0
44193,26303,26634,-1,0
44192,26666,26303,1,1
44191,24409,26648,-1,0
44190,23399,24409,-1,0
44189,23295,23384,-1,0
44188,23434,23299,1,1
44187,23138,23434,-1,0
44186,23406,23146,1,1
44185,23988,23494,1,1
44184,22898,24004,-1,0
44183,22775,22911,-1,0
44182,21200,22767,-1,0
44181,19431,21240,-1,0
44180,19199,19431,-1,0
44179,19182,19201,-1,0
44178,18800,19182,-1,0
44177,18106,18794,-1,0
44176,18351,18106,1,1
44175,18550,18352,1,1
44174,18776,18550,1,1
44173,19087,18784,1,1
44172,19249,19087,1,1
44171,19019,19246,-1,0
44170,18828,19019,-1,0
44169,19465,18833,1,1
44168,19160,19465,-1,0
44167,19089,19161,-1,0
44166,19380,19089,1,1
44165,18267,19376,-1,0
44164,17765,18267,-1,0
44163,17037,17764,-1,0
44162,17122,17037,1,1
44161,18859,17122,1,1
44160,18938,18846,1,1
44159,18419,18938,-1,0
44158,18585,18426,1,1
44157,18635,18585,1,1
44156,18586,18638,-1,0
44155,17939,18586,-1,0
44154,17781,17939,-1,0
44153,17633,17781,-1,0
44152,16717,17627,-1,0
44151,15859,16717,-1,0
44150,15996,15865,1,1
44149,16287,15997,1,1
44148,16155,16287,-1,0
44147,15799,16150,-1,0
44146,15393,15799,-1,0
44145,15392,15393,-1,0
44144,15333,15392,-1,0
44143,14846,15347,-1,0
44142,15549,14846,1,1
44141,15244,15561,-1,0
44140,14005,15244,-1,0
44139,13733,14002,-1,0
44138,13619,13733,-1,0
44137,13816,13622,1,1
44136,13847,13816,1,1
44135,13644,13841,-1,0
44134,13484,13644,-1,0
44133,13208,13482,-1,0
44132,13619,13208,1,1
44131,13025,13632,-1,0
44130,13038,13025,1,1
44129,13103,13040,1,1
44128,12941,13103,-1,0
44127,13128,12941,1,1
44126,12856,13128,-1,0
44125,11904,12853,-1,0
44124,11732,11904,-1,0
44123,11447,11732,-1,0
44122,11357,11447,-1,0
44121,11319,11356,-1,0
44120,11558,11314,1,1
44119,11398,11544,-1,0
44118,11437,11396,1,1
44117,11564,11437,1,1
44116,11342,11564,-1,0
44115,11371,11350,1,1
44114,11041,11371,-1,0
44113,10894,11042,-1,0
44112,10662,10894,-1,0
44111,10557,10660,-1,0
44110,10740,10557,1,1
44109,10652,10741,-1,0
44108,10580,10652,-1,0
44107,10540,10580,-1,0
44106,10613,10540,1,1
44105,10707,10613,1,1
44104,10761,10711,1,1
44103,10871,10761,1,1
44102,10727,10871,-1,0
44101,10721,10727,-1,0
44100,10713,10720,-1,0
44099,10624,10713,-1,0
44098,10216,10637,-1,0
44097,10521,10216,1,1
44096,10479,10520,-1,0
44095,10858,10479,1,1
44094,11093,10861,1,1
44093,10900,11093,-1,0
44092,10938,10900,1,1
44091,11000,10938,1,1
44090,10870,11000,-1,0
44089,10697,10870,-1,0
44088,10324,10694,-1,0
44087,10446,10324,1,1
44086,10329,10447,-1,0
44085,10308,10329,-1,0
44084,10265,10307,-1,0
44083,10027,10265,-1,0
44082,10142,10030,1,1
44081,10243,10142,1,1
44080,10112,10242,-1,0
44079,10610,10112,1,1
44078,10793,10610,1,1
44077,11372,10794,1,1
44076,12023,11372,1,1
44075,11685,12023,-1,0
44074,11643,11683,-1,0
44073,11528,11643,-1,0
44072,11500,11528,-1,0
44071,11271,11500,-1,0
44070,11499,11272,1,1
44069,11275,11499,-1,0
44068,11743,11272,1,1
44067,11674,11743,-1,0
44066,11616,11680,-1,0
44065,11625,11616,1,1
44064,11871,11634,1,1
44063,11733,11871,-1,0
44062,12035,11728,1,1
44061,12331,12035,1,1
44060,11857,12329,-1,0
44059,11876,11857,1,1
44058,11777,11876,-1,0
44057,11621,11777,-1,0
44056,11575,11640,-1,0
44055,11239,11573,-1,0
44054,11871,11239,1,1
44053,11681,11866,-1,0
44052,11715,11681,1,1
44051,11581,11715,-1,0
44050,11854,11581,1,1
44049,11692,11854,-1,0
44048,11216,11692,-1,0
44047,11387,11213,1,1
44046,11097,11387,-1,0
44045,11835,11102,1,1
44044,11359,11835,-1,0
44043,11152,11359,-1,0
44042,11219,11155,1,1
44041,10982,11230,-1,0
44040,10889,10982,-1,0
44039,9893,10862,-1,0
44038,9729,9893,-1,0
44037,9629,9734,-1,0
44036,9594,9629,-1,0
44035,9380,9594,-1,0
44034,9382,9380,1,1
44033,9178,9382,-1,0
44032,9176,9178,-1,0
44031,9185,9176,1,1
44030,9159,9185,-1,0
44029,9104,9159,-1,0
44028,9216,9103,1,1
44027,9272,9216,1,1
44026,9256,9272,-1,0
44025,9239,9256,-1,0
44024,9224,9240,-1,0
44023,9237,9224,1,1
44022,9244,9237,1,1
44021,9435,9244,1,1
44020,9258,9435,-1,0
44019,9279,9258,1,1
44018,9022,9280,-1,0
44017,9131,9022,1,1
44016,9097,9132,-1,0
44015,9087,9097,-1,0
44014,9243,9087,1,1
44013,9150,9243,-1,0
44012,9179,9150,1,1
44011,9111,9178,-1,0
44010,8957,9111,-1,0
44009,9201,8957,1,1
44008,9277,9201,1,1
44007,9296,9278,1,1
44006,9635,9296,1,1
44005,9640,9644,-1,0
44004,9313,9640,-1,0
44003,9319,9313,1,1
44002,9317,9319,-1,0
44001,9349,9316,1,1
44000,9373,9349,1,1
43999,9499,9379,1,1
43998,9483,9499,-1,0
43997,9384,9484,-1,0
43996,9408,9384,1,1
43995,9457,9407,1,1
43994,9343,9457,-1,0
43993,9870,9338,1,1
43992,9757,9870,-1,0
43991,9709,9758,-1,0
43990,9731,9709,1,1
43989,9708,9707,1,1
43988,9715,9708,1,1
43987,9786,9715,1,1
43986,9586,9786,-1,0
43985,9529,9585,-1,0
43984,9671,9529,1,1
43983,9504,9691,-1,0
43982,9439,9504,-1,0
43981,9417,9439,-1,0
43980,9451,9417,1,1
43979,9165,9453,-1,0
43978,8867,9163,-1,0
43977,8917,8867,1,1
43976,9006,8917,1,1
43975,9235,9006,1,1
43974,9191,9235,-1,0
43973,9075,9191,-1,0
43972,9592,9075,1,1
43971,9698,9592,1,1
43970,9684,9698,-1,0
43969,9741,9684,1,1
43968,9378,9741,-1,0
43967,9225,9385,-1,0
43966,9656,9225,1,1
43965,9312,9655,-1,0
43964,8831,9312,-1,0
43963,8636,8832,-1,0
43962,8693,8636,1,1
43961,9666,8700,1,1
43960,9994,9666,1,1
43959,9788,9994,-1,0
43958,9251,9774,-1,0
43957,8960,9251,-1,0
43956,8930,8969,-1,0
43955,8853,8930,-1,0
43954,8946,8861,1,1
43953,8741,8946,-1,0
43952,8838,8741,1,1
43951,8918,8830,1,1
43950,7745,8918,-1,0
43949,7712,7744,-1,0
43948,7603,7708,-1,0
43947,7600,7603,-1,0
43946,7503,7600,-1,0
43945,7557,7531,1,1
43944,7138,7536,-1,0
43943,6857,7115,-1,0
43942,6897,6891,1,1
43941,7151,6866,1,1
43940,7223,7152,1,1
43939,7087,7223,-1,0
43938,7046,7062,-1,0
43937,6756,7046,-1,0
43936,6872,6756,1,1
43935,6763,6872,-1,0
43934,7143,6827,1,1
43933,6814,7143,-1,0
43932,6910,6814,1,1
43931,7315,6919,1,1
43930,7341,7302,1,1
43929,7360,7327,1,1
43928,7298,7118,1,1
43927,6762,7298,-1,0
43926,6854,6762,1,1
43925,6704,6854,-1,0
43924,6833,6710,1,1
43923,6357,6833,-1,0
